t,track_id,cluster_idx,p_pred,reward,cum_like_rate,rolling_like_rate
0,5Eax0qFko2dh7Rl2lYs3bx,0,0.12359212415282414,0,0.0,0.0
1,7dSZ6zGTQx66c2GF91xCrb,0,0.1456531710812731,0,0.0,0.0
2,4h9wh7iOZ0GGn8QVp4RAOB,1,0.3011450746730166,1,0.3333333333333333,0.3333333333333333
3,1xzi1Jcr7mEi9K2RfzLOqS,1,0.27474570298004913,0,0.25,0.25
4,5IgjP7X4th6nMNDh4akUHb,2,0.2850173495509717,1,0.4,0.4
5,3k3NWokhRRkEPhCzPmV8TW,2,0.1841996262088232,0,0.3333333333333333,0.3333333333333333
6,6xGruZOHLs39ZbVccQTuPZ,3,0.32223160103391635,1,0.42857142857142855,0.42857142857142855
7,3JvKfv6T31zO0ini8iNItO,3,0.2428146113151058,0,0.375,0.375
8,2vWBUC9djv6BtiGlmKiQaH,4,0.33315699226156226,1,0.4444444444444444,0.4444444444444444
9,4IhTXiZLKATmwhMZIb1GQN,4,0.261942108418846,0,0.4,0.4
10,41oY4WCTj5kccfesTVFnvN,5,0.13610171853341146,0,0.36363636363636365,0.36363636363636365
11,7DbdUf8aHSYoliSjO6LZv6,5,0.13660877766088234,0,0.3333333333333333,0.3333333333333333
12,6KHsTu4Ht4XYiWcZOOdwbW,6,0.11974864743503541,0,0.3076923076923077,0.3076923076923077
13,6dr7ekfhlbquvsVY8D7gyk,6,0.11911178125106575,0,0.2857142857142857,0.2857142857142857
14,0yc6Gst2xkRu0eMLeRMGCX,7,0.22968787269565927,0,0.26666666666666666,0.26666666666666666
15,7H7NyZ3G075GqPx2evsfeb,7,0.34755455947077263,1,0.3125,0.3125
16,4LRPiXqCikLlN15c3yImP7,8,0.3292192294118026,1,0.35294117647058826,0.35294117647058826
17,3F5CgOj3wFlRv51JsHbxhe,8,0.32717165099411566,0,0.3333333333333333,0.3333333333333333
18,6i1g5ZRmJZAkDwBaUZ3f2i,9,0.26067857671845535,0,0.3157894736842105,0.3157894736842105
19,0hquQWY3xvYqN4qtiquniF,9,0.3224073275406827,1,0.35,0.35
20,6hCRurmcJcOY7KUUDcBHrU,3,0.30691948742167985,0,0.3333333333333333,0.35
21,61bdSdLMKeBOt2oNhV9VE4,4,0.26836654416794103,0,0.3181818181818182,0.35
22,3MooAR0niDCEgMVd1UdPjG,8,0.38089287872019373,0,0.30434782608695654,0.3
23,1JqT2GcU9rXFX8PwrzVlUC,2,0.23620724335679216,0,0.2916666666666667,0.3
24,5kbS81WrhAC0OQJkfuBoDS,9,0.33006400643673484,0,0.28,0.25
